5.10 Breezy Badger,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.52639583333033
Theria (2026074),166.99876833333033
Eutheria (2026898),108.34299128204833
Boreoeutheria,100.78521379084673
Laurasiatheria,92.76544166666362
2034426,85.20914761904461
2034427,81.72584999999701
2034428,80.34703333333032
2034429,79.49026333333032
Carnivora,58.29354678160621
Caniformia,49.08976770175141
2034629,43.62108333333031
2034630,43.09507499999701
2034631,38.26960555555251
2034632,37.398049999997006
2034633,32.704850833330305
Mustelidae,24.255021783330303
Taxidea,13.794177558330302
Taxidea taxus,3.3333333333303017
