Eel,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133302
Euteleostomi,432.95528812878524
Actinopterygii,389.9851823333303
Actinopteri,341.71397999999726
Neopterygii,315.3964666666633
Teleostei,287.3333333333303
Elopomorpha,287.3333333333303
2049231,260.4623333333303
2049232,219.3333333333303
Anguilliformes,202.5528502923953
Anguillidae,108.1885096700053
Anguilla,24.3150047619017
Anguilla rostrata,3.3333333333303017
