Horse,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.07544516969335
Amniota,323.8571566666624
Mammalia,182.5263958333294
Theria,166.9987683333294
Eutheria,108.34299128204741
Boreoeutheria,100.7852137908458
Laurasiatheria,92.7654416666627
2034426,85.20914761904369
2034427,81.72584999999609
2034428,80.34703333332939
Perissodactyla,53.14679333332939
Equidae,10.513333333329392
Equus,6.979999999996062
Equus subgenus Equus,5.156666666662722
Equus caballus,3.333333333329392
