Nutmeg,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.3333333333298
Streptophyta,757.1458473333298
Embryophyta,554.8835853333298
48507,518.4392558333299
Tracheophyta,435.0522522222189
Euphyllophyta,407.9247917948679
Spermatophyta,321.3497333333299
Magnoliophyta,191.2982833333299
Mesangiospermae,158.33333333332988
55894,146.30910855184888
Magnoliidae,136.41579499999688
232802,127.30464538701388
232803,125.33333333332988
Magnoliales,114.24185134832987
Myristicaceae,49.121299135129874
Myristica,26.227316234229875
