Salmon,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208593
Opisthokonta,1305.8335179487092
Holozoa,994.1680333333292
563254,939.3333333333292
Metazoa,939.3333333333292
Eumetazoa,939.3333333333292
564202,939.3333333333292
Bilateria,850.3327392156822
Deuterostomia,730.3111111111072
Chordata,736.3333333333292
Vertebrata (1993220),634.6544213333292
Gnathostomata,486.2277668133292
Euteleostomi,432.9552881287842
Actinopterygii,389.9851823333292
Actinopteri,341.7139799999962
Neopterygii,315.3964666666622
Teleostei,287.3333333333292
Osteoglossocephalai,287.3333333333292
Clupeocephala,234.8629783333292
Euteleosteomorpha,229.0132753333292
2050451,185.7569593333292
Protacanthopterygii,185.7569593333292
2050634,171.19873333332922
Salmonidae,89.62842958332922
Salmoninae,35.50982266666252
Salmo,14.525268333329223
