Wolverine,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.07544516969335
Amniota,323.8571566666624
Mammalia,182.52639583332942
Theria,166.99876833332942
Eutheria,108.34299128204742
Boreoeutheria,100.78521379084582
Laurasiatheria,92.76544166666271
2034426,85.2091476190437
2034427,81.7258499999961
2034428,80.3470333333294
2034429,79.49026333332941
Carnivora,58.2935467816053
Caniformia,49.0897677017505
2034629,43.6210833333294
2034630,43.0950749999961
2034631,38.2696055555516
2034632,37.3980499999961
2034633,32.704850833329395
Mustelidae,24.255021783329394
Martinae,14.098086166662693
2034644,13.713136222218292
Gulo,8.523234777773842
Gulo gulo,3.333333333329392
